
10:41:59 PM [express] Session Debug - Admin: true
10:41:59 PM [express] GET /src/pages/admin/dashboard.tsx 200 in 32ms
10:41:59 PM [express] Session Debug - Admin: true
10:41:59 PM [express] Session Debug - Admin: true
10:41:59 PM [express] GET /src/components/ui/toast.tsx 304 in 33ms
10:41:59 PM [express] GET /src/hooks/use-toast.ts 304 in 29ms
10:41:59 PM [express] Session Debug - Admin: true
10:41:59 PM [express] GET /src/components/layout/header.tsx 304 in 34ms
10:41:59 PM [express] Session Debug - Admin: true
10:41:59 PM [express] GET /src/components/layout/footer.tsx 304 in 70ms
10:41:59 PM [express] Session Debug - Admin: true
10:41:59 PM [express] GET /src/components/security/trust-badges.tsx 304 in 30ms
10:42:00 PM [express] Session Debug - Admin: true
10:42:00 PM [express] Session Debug - Admin: true
10:42:00 PM [express] GET /src/components/ui/button.tsx 304 in 30ms
10:42:00 PM [express] GET /src/components/animations/text-3d.tsx 304 in 33ms
10:42:00 PM [express] Session Debug - Admin: true
10:42:00 PM [express] GET /src/components/ui/card.tsx 304 in 35ms
10:42:00 PM [express] Session Debug - Admin: true
10:42:00 PM [express] Session Debug - Admin: true
10:42:00 PM [express] GET /src/components/wallet/wallet-grid.tsx 304 in 30ms
10:42:00 PM [express] GET /src/components/ui/input.tsx 304 in 34ms
10:42:00 PM [express] Session Debug - Admin: true
10:42:00 PM [express] GET /src/components/ui/textarea.tsx 304 in 38ms
10:42:00 PM [express] Session Debug - Admin: true
10:42:00 PM [express] Session Debug - Admin: true
10:42:00 PM [express] GET /src/components/ui/select.tsx 304 in 29ms
10:42:00 PM [express] GET /src/components/ui/form.tsx 304 in 34ms
10:42:01 PM [express] Session Debug - Admin: true
10:42:01 PM [express] GET /src/lib/utils.ts 304 in 34ms
10:42:01 PM [express] Session Debug - Admin: true
10:42:01 PM [express] Session Debug - Admin: true
10:42:01 PM [express] GET /src/components/navigation/loading-link.tsx 304 in 30ms
10:42:01 PM [express] GET /src/components/ui/sheet.tsx 304 in 34ms
10:42:01 PM [express] Session Debug - Admin: true
10:42:01 PM [express] GET /src/components/layout/nav-menu.tsx 304 in 32ms
10:42:01 PM [express] Session Debug - Admin: true
10:42:02 PM [express] GET /@fs/home/runner/workspace/attached_assets/metamask_wallet.png 304 in 34ms
10:42:02 PM [express] Session Debug - Admin: true
10:42:02 PM [express] Session Debug - Admin: true
10:42:02 PM [express] GET /@fs/home/runner/workspace/attached_assets/trust_wallet.png 304 in 35ms
10:42:02 PM [express] GET /@fs/home/runner/workspace/attached_assets/coinbase_wallet.png 304 in 33ms
10:42:02 PM [express] Session Debug - Admin: true
10:42:02 PM [express] GET /@fs/home/runner/workspace/attached_assets/exodus_wallet.png 304 in 30ms
10:42:02 PM [express] Session Debug - Admin: true
10:42:02 PM [express] GET /@fs/home/runner/workspace/attached_assets/binance_wallet.png 304 in 34ms
10:42:02 PM [express] Session Debug - Admin: true
10:42:02 PM [express] GET /@fs/home/runner/workspace/attached_assets/atomic_wallet.png 304 in 30ms
10:42:02 PM [express] Session Debug - Admin: true
10:42:02 PM [express] GET /@fs/home/runner/workspace/attached_assets/bitgo_wallet.png 304 in 31ms
10:42:02 PM [express] Session Debug - Admin: true
10:42:02 PM [express] Session Debug - Admin: true
10:42:02 PM [express] GET /@fs/home/runner/workspace/attached_assets/zengo_wallet.png 304 in 32ms
10:42:02 PM [express] GET /@fs/home/runner/workspace/attached_assets/1inch_wallet.png 304 in 36ms
10:42:03 PM [express] Session Debug - Admin: true
10:42:03 PM [express] GET /@fs/home/runner/workspace/attached_assets/phantom_wallet.png 304 in 40ms
10:42:03 PM [express] Session Debug - Admin: true
10:42:03 PM [express] Session Debug - Admin: true
10:42:03 PM [express] GET /@fs/home/runner/workspace/attached_assets/myetherwallet.png 304 in 32ms
10:42:03 PM [express] GET /@fs/home/runner/workspace/attached_assets/safepal_wallet.png 304 in 31ms
10:42:03 PM [express] Session Debug - Admin: true
10:42:03 PM [express] GET /src/components/ui/label.tsx 304 in 32ms
10:42:03 PM [express] Session Debug - Admin: true
10:42:03 PM [express] GET /src/components/ui/navigation-menu.tsx 304 in 33ms
10:42:04 PM [express] Session Debug - Admin: true
10:42:04 PM [express] GET /images/logo.png 304 in 31ms
